Reference, Value, Footprint, Datasheet
"J1","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~"
"J3","CF Card Conn","Connector:CF-50P","~"
"D1","LED","LED_THT:LED_D3.0mm","~"
"U1","74HC138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS138"
"J2","I/O ADDR JP","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"U2","74HC04","Package_DIP:DIP-14_W7.62mm_Socket","http://www.nxp.com/documents/data_sheet/74HC_HCT04.pdf"
"C1","0.1u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C2","0.1u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"R1","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R3","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"MH1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"MH2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"MH3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"MH4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
